"","x"
"475",17.5451
"476",17.2933
"477",16.7712
"478",17.5667
"479",17.3221
"480",18.2621
"481",18.5308
"482",17.3892
"483",18.0225
"484",17.2604
"485",17.8613
"486",17.0309
"487",17.6762
"488",17.9805
"489",17.2073
"490",18.2651
"491",18.3323
"492",19.436
"493",19.2651
"494",17.479
"495",18.6182
"496",17.8869
"497",18.5423
"498",17.7207
"499",18.5664
"500",18.4185
"501",17.4745
"502",18.622
"503",18.1237
"504",18.7519
"505",19.3208
"506",17.2603
"507",19.2879
"508",18.2366
"509",18.2397
"510",17.5083
"511",18.096
"512",17.793
"513",17.166
"514",18.1118
"515",18.1348
"516",19.1301
"517",19.235
"518",17.2456
"519",18.4135
"520",17.4468
"521",17.5597
"522",16.8482
"523",17.3844
"524",17.5883
"525",16.9053
"526",17.792
"527",17.72
"528",19.144
"529",19.2439
"530",17.7823
"531",18.3332
"532",17.8475
"533",18.0935
"534",17.1657
"535",17.8783
"536",17.6412
"537",16.9067
"538",17.8268
"539",17.8322
"540",19.4526
"541",19.5284
"542",16.9441
